rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
9538,b3f176fe-9789-4bf6-9334-1d7762988a39,OBERASBACH - ROTHENBURGER STRASSE 3,AGIP ENI,Oberasbach,90522,e10,E10,60.244,49.818,95.443,35.472,2.169,5.0,3.0,0.0,3.0,9.0,9.0,1
9538,b617fc5f-e468-4238-b9ba-62bf07bbb027,ENI,AGIP ENI,München,81477,e10,E10,60.244,49.818,95.443,35.472,2.169,5.0,3.0,0.0,4.0,9.0,9.0,1
9541,485fb090-c655-4e07-9900-eae6a5e850ff,Torsten Paschke,NORDOEL,Spornitz,19372,diesel,Diesel,60.242,86.449,86.461,7.817,2.209,9.0,4.0,0.0,1.8,3.6,5.0,1
9542,00060550-0003-4444-8888-acdc00000003,Neukauf Südbayern GmbH,EDEKA,Regensburg,93053,e5,E5,60.241,92.166,72.43,16.128,2.169,10.0,4.0,0.0,3.0,7.0,8.0,1
9542,16f4b988-23c0-466e-bd45-96e50e0ff956,AGROA Raiffeisen eG,Raiffeisen,Marbach am Neckar,71672,e5,E5,60.241,92.166,72.43,16.128,2.169,10.0,4.0,0.0,3.0,7.0,8.0,1
9542,e43f4d46-86a9-4129-a364-97eefed7e9d0,AGROA Raiffeisen eG,Raiffeisen,Affalterbach,71563,e5,E5,60.241,92.166,72.43,16.128,2.169,10.0,4.0,0.0,3.0,7.0,8.0,1
9542,48d8add0-5a02-41ab-8b01-a19ea2a19173,CLASSIC Osterrönfeld,CLASSIC,Osterrönfeld,24783,e5,E5,60.241,74.929,81.777,24.017,2.209,9.0,3.0,0.0,1.0,5.0,6.0,1
9542,8717678b-d006-497c-9e66-5746ca7d26eb,CLASSIC Legan,CLASSIC,Legan,24816,e5,E5,60.241,74.929,81.777,24.017,2.209,9.0,3.0,0.0,1.0,5.0,6.0,1
9547,2fc200f3-dca3-4144-89de-6419734e0062,GAP Petrol Station,GAP Petrol Station,Keltern,75210,diesel,Diesel,60.238,75.75,69.378,35.587,2.239,12.0,2.0,1.0,1.0,3.0,3.0,1
9547,87fbc589-6200-5fb3-b89c-ef3fcecf494b,Nienburg (Weser),Hoyer,Nienburg (Weser),31582,diesel,Diesel,60.238,75.75,69.378,35.587,2.239,12.0,2.0,2.0,2.0,3.0,5.0,1
9549,6b74fd0c-310d-4533-af25-af181bfe5eca,"Selm, Kreisstraße 138",HEM,Selm,59379,e5,E5,60.232,74.929,42.313,63.453,2.209,12.0,1.0,2.0,3.0,8.0,12.0,1
9549,b58cd0e0-3cc5-44a4-80f1-c49b91329f34,Budget Oil,Budget Oil,Schwaförden,27252,e5,E5,60.232,74.929,42.313,63.453,2.209,12.0,1.0,2.0,4.0,8.0,10.0,1
9551,986faf05-5fbf-45f3-b07d-a2f542d37c17,Otto Kirschbaum GmbH & Co. KG,Kirschbaum,Solingen,42699,e10,E10,60.231,94.15,72.983,13.559,2.099,10.0,5.0,0.0,0.0,7.0,7.0,1
9552,4ae9813f-d872-4573-9249-c9cea66fcdff,Raiffeisen Rhein-Ahr-Eifel Handelsgesellschaft mbH,Raiffeisen,Rheinbach,53359,diesel,Diesel,60.225,86.449,24.423,69.804,2.209,15.0,2.0,17.0,17.0,17.0,17.0,1
9553,5f0ce419-4e72-4bb2-ad44-7c0fe45d0910,SEELBACH - HAUPTSTR. 57,AGIP ENI,Seelbach,77960,e10,E10,60.222,91.409,86.472,2.784,2.119,8.0,7.0,0.0,0.0,0.0,2.0,1
9554,55fabb87-c310-4357-a328-994da9b34818,AVIA Tankstelle,AVIA,Hosenfeld,36154,e10,E10,60.215,88.828,82.093,9.725,2.129,9.0,4.0,0.0,3.0,4.0,4.0,1
9555,0050569a-edd1-1eed-9be0-d27ed33e9775,"Nidderau, Siemensstraße 37",HEM,Nidderau,61130,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,1.0,9.0,10.0,11.0,1
9555,005056a9-779e-1ed7-86f3-b0464b23d308,star Tankstelle,STAR,Ahlen,59229,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,7.0,7.0,10.0,11.0,1
9555,005056ba-7cb6-1ed2-bceb-577013c04d16,star Tankstelle,STAR,Velbert,42555,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,1.0,5.0,10.0,13.0,1
9555,005056ba-7cb6-1ed2-bceb-714f5c000d23,star Tankstelle,STAR,Duisburg,47179,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,1.0,5.0,10.0,11.0,1
9555,005056ba-7cb6-1ed2-bceb-74dffc2ecd25,star Tankstelle,STAR,Dinslaken,46537,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,1.0,6.0,10.0,11.0,1
9555,005056ba-7cb6-1ed2-bceb-902f9b9a4d35,star Tankstelle,STAR,Voerde,46562,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,1.0,6.0,10.0,11.0,1
9555,005056ba-7cb6-1ed2-bceb-bc863485ed4e,star Tankstelle,STAR,Bergheim,50126,e10,E10,60.214,66.982,42.706,70.953,2.159,12.0,1.0,2.0,7.0,10.0,12.0,1
